Model,Accuracy,Precision,Recall,F1-score,CV Mean
Logistic Regression,0.6216216216216216,0.6363636363636364,0.9130434782608695,0.75,0.6986206896551724
Decision Tree,0.7567567567567568,0.7916666666666666,0.8260869565217391,0.8085106382978723,0.6986206896551723
Random Forest,0.7297297297297297,0.7407407407407407,0.8695652173913043,0.8,0.74
